Ticker,Company,Sector,Current Price,Intrinsic Value,Margin of Safety,MoS %,MoS Band,Piotroski F-Score,Altman Z-Score,WACC,ROIC,EV/FCF Yield,Normalized EPS,EPV Value,Multiple Value,DCF Value,Interest Coverage,Debt/Equity,Years of Data
PODD,Insulet Corporation,Healthcare,171.32000732421875,31.628676978974887,-4.416603654907964,-441.7%,Overvalued,7,6.18,9.8%,21.4%,1.3%,3.1628676978974886,35.14297442108321,31.628676978974887,N/A,8.0x,0.63,4
AJG,Arthur J. Gallagher & Co.,Financial Services,268.69000244140625,49.04998015116252,-4.477881981060049,-447.8%,Overvalued,6,N/A,6.6%,5.7%,2.2%,4.904998015116252,54.49997794573614,49.04998015116252,201.24793505015623,4.0x,0.58,4
KEYS,"Keysight Technologies, Inc.",Technology,294.8800048828125,53.32210057325837,-4.530164823077096,-453.0%,Overvalued,5,7.45,10.3%,10.2%,2.1%,5.332210057325836,59.246778414731516,53.32210057325837,89.8165065578946,9.1x,0.47,4
CRL,"Charles River Laboratories International, Inc.",Healthcare,238.4550018310547,42.91301458466073,-4.556705911690727,-455.7%,Overvalued,5,2.83,10.1%,5.7%,3.0%,4.291301458466073,47.681127316289704,42.91301458466073,126.32154326158368,3.7x,0.81,4
DOC,"Healthpeak Properties, Inc.",Real Estate,22.709999084472656,4.0648207352797705,-4.586962024515846,-458.7%,Overvalued,5,0.98,6.8%,2.5%,4.1%,0.40648207352797705,4.51646748364419,4.0648207352797705,41.09432221745015,1.8x,1.35,4
TECH,Bio-Techne Corporation,Healthcare,72.13999938964844,12.81714359298105,-4.628399094253253,-462.8%,Overvalued,5,12.13,10.7%,8.7%,2.1%,1.281714359298105,14.241270658867835,12.81714359298105,21.164106324207324,28.5x,0.23,4
IBKR,"Interactive Brokers Group, Inc.",Financial Services,86.69999694824219,15.258672468244026,-4.68201441696059,-468.2%,Overvalued,5,N/A,11.3%,1657.1%,5.8%,1.5258672468244026,16.95408052027114,15.258672468244026,N/A,2.1x,0.00,4
GE,GE Aerospace,Industrials,352.489990234375,60.42527482871772,-4.833485925112427,-483.3%,Overvalued,6,3.50,11.0%,25.6%,1.4%,6.042527482871772,67.1391942541308,60.42527482871772,64.05923401531359,10.3x,1.10,4
CTAS,Cintas Corporation,Industrials,218.4199981689453,37.28404811231872,-4.85826940011857,-485.8%,Overvalued,3,12.89,9.2%,26.3%,1.7%,3.728404811231872,41.42672012479858,37.28404811231872,62.44759857282991,N/A,0.57,4
CASY,"Casey's General Stores, Inc.",Consumer Cyclical,879.8499755859375,149.27956595170036,-4.893974637296402,-489.4%,Overvalued,9,6.88,7.4%,12.9%,1.5%,14.927956595170036,165.8661843907782,149.27956595170036,327.31545919624926,N/A,0.74,4
AMZN,"Amazon.com, Inc.",Consumer Cyclical,227.64500427246094,38.25865140152694,-4.950157570461968,-495.0%,Overvalued,6,5.25,11.3%,13.2%,0.6%,3.8258651401526937,42.50961266836327,38.25865140152694,N/A,35.2x,0.37,4
MMM,3M Company,Industrials,179.21499633789062,30.079165629909003,-4.958110625239201,-495.8%,Overvalued,5,4.40,9.6%,31.4%,2.7%,3.0079165629909004,33.42129514434334,30.079165629909003,N/A,5.1x,2.68,4
CTVA,"Corteva, Inc.",Basic Materials,88.97000122070312,14.514368589456055,-5.129787918251936,-513.0%,Overvalued,7,2.69,7.4%,9.3%,2.5%,1.4514368589456055,16.12707621050673,14.514368589456055,N/A,14.6x,0.11,4
COST,Costco Wholesale Corporation,Consumer Defensive,976.8699951171875,155.59931924052,-5.278112268648013,-527.8%,Overvalued,6,9.87,8.9%,35.4%,1.4%,15.559931924052,172.88813248946667,155.59931924052,244.69700207363712,67.4x,0.28,4
FICO,Fair Isaac Corporation,Technology,1404.0699462890625,212.1168746059339,-5.61932224344486,-561.9%,Overvalued,7,11.44,10.4%,61.9%,1.6%,21.21168746059339,235.68541622881543,212.1168746059339,345.84487604084165,7.0x,N/A,4
ARES,Ares Management Corporation,Financial Services,123.4800033569336,18.386959118175238,-5.715629406869971,-571.6%,Overvalued,5,N/A,10.2%,4.1%,2.3%,1.8386959118175237,20.429954575750262,18.386959118175238,N/A,1.2x,3.33,4
ADI,"Analog Devices, Inc.",Technology,355.1300048828125,51.14976473198712,-5.94294503100085,-594.3%,Overvalued,8,8.16,10.2%,5.9%,2.1%,5.114976473198712,56.83307192443013,51.14976473198712,107.93097137240962,9.5x,0.26,4
